Party,Alliance
Bharatiya Janata Party - BJP,NDA
Telugu Desam - TDP,NDA
Janata Dal  (United) - JD(U),NDA
Shiv Sena - SHS,NDA
AJSU Party - AJSUP,NDA
Apna Dal (Soneylal) - ADAL,NDA
Asom Gana Parishad - AGP,NDA
Hindustani Awam Morcha (Secular) - HAMS,NDA
Janasena Party - JnP,NDA
Janata Dal  (Secular) - JD(S),NDA
Lok Janshakti Party(Ram Vilas) - LJPRV,NDA
Nationalist Congress Party - NCP,NDA
Rashtriya Lok Dal - RLD,NDA
Sikkim Krantikari Morcha - SKM,NDA
Indian National Congress - INC,I.N.D.I.A.
Aam Aadmi Party - AAAP,I.N.D.I.A.
All India Trinamool Congress - AITC,I.N.D.I.A.
Bharat Adivasi Party - BHRTADVSIP,I.N.D.I.A.
Communist Party of India  (Marxist) - CPI(M),I.N.D.I.A.
Communist Party of India  (Marxist-Leninist)  (Liberation) - CPI(ML)(L),I.N.D.I.A.
Communist Party of India - CPI,I.N.D.I.A.
Dravida Munnetra Kazhagam - DMK,I.N.D.I.A.
Indian Union Muslim League - IUML,I.N.D.I.A.
Jammu & Kashmir National Conference - JKN,I.N.D.I.A.
Jharkhand Mukti Morcha - JMM,I.N.D.I.A.
Kerala Congress - KEC,I.N.D.I.A.
Marumalarchi Dravida Munnetra Kazhagam - MDMK,I.N.D.I.A.
Nationalist Congress Party Sharadchandra Pawar - NCPSP,I.N.D.I.A.
Rashtriya Janata Dal - RJD,I.N.D.I.A.
Rashtriya Loktantrik Party - RLTP,I.N.D.I.A.
Revolutionary Socialist Party - RSP,I.N.D.I.A.
Samajwadi Party - SP,I.N.D.I.A.
Shiv Sena (Uddhav Balasaheb Thackrey) - SHSUBT,I.N.D.I.A.
Viduthalai Chiruthaigal Katchi - VCK,I.N.D.I.A.
